16 0.967 ..o..........xxo|...x.o.###.........
21 0.3386 #...#..x#o.|..ox....#x....o....#....
16 0.9693 #...#........oo.x..x.....x....|o#.#.
21 0.4461 #.#..#.#o...#.ox#.#.x......#..ox.#|.
15 0.9859 o.#|.#.x.....x....#...o..o..x.......
16 0.4457 .xo....xo.xo.......#...#....#...|...
15 0.9794 .....#...x#..x..o..o....o..x|.......
24 0.5186 ..........o.o.x....x.x...#...#....|o
22 0.9347 .......o.o......x.|x..x.o...........
28 0.4369 ..o...o..#.....x..|...x..##x.#.....o
25 0.431 #.xoo...o.....##....x..#..x........|
23 0.3604 ##.x.o..x|.........x....#..o.....o..
24 0.966 o.......|...oo.xx.......x...........
25 0.4705 ..........x.......x.#...o#.x.oo..|..
15 0.997 .........x.oo...|..........x....ox..
20 0.9817 ..........o...x...xx.#...|....o....o
16 0.9963 .....o|.o....x..x.........o.x.......
21 0.8874 o.....|.x....x.#.o...x.....o........
24 0.9639 ......xxx.|.o..............oo.......
23 0.3994 ..o.x.#..##....x|.#......o.#x#.....o
20 0.4352 ..##.#...#o.|#.#x..o.o.#.x..x.#.....
22 0.9219 o...........x...o.|#x.........o...x.
20 0.5568 ....#...x....#.o..oo.|...xx.......#.
16 0.9957 .o......x..oox..........|.#x........
12 0.9891 #.............xo....o..x..x.....|..o
21 0.9857 .x..o.o.|o....x............x........
23 0.9864 ..#..o.....|o#.......x..x.o..x......
21 0.409 .o..x..x.x.......|.o.......o........
15 0.976 #....##..x#......#..#oxo.ox..#.|....
28 0.3344 ...oo.|.#.........o.....x.xx......#.
15 0.9702 ...o.......oo.x.x......|..x.........
18 0.3522 ox..|.....xo....##o...x........#....
24 0.3765 #.o.#o..xx...x.......#...........|#o
34 0.8583 .......x.|....x....x.............ooo
15 0.9873 ..oo.....x...|.......#....x.......xo
21 0.4243 ......x..|..o......x.o.o#...x.......
19 0.4402 .o..o..x..x...x.....#|.#..o....##...
26 0.4091 .......x.#.|#..x....xo.##.....o.o#..
17 0.9318 .......o....o.....x.xx...o|.........
17 0.9852 .....#|...x###...#..x.o.##o.....o.x.
18 0.9873 .........x.........x...o.|ox...o....
26 0.3815 o|.....#x.x.....#.o............#.x.o
21 0.3628 ##..|.....o..#xx....x....#oo...##..#
20 0.9845 .....o|x.....x.......x.#oo..........
18 0.8971 o..#...ox.|...o....x..x.............
15 0.9894 |........o....x............ox..o.x..
19 0.9957 .........#...x...o..|o...x........xo
22 0.9729 ..o...#......|.ox...o.....x.x..#....
18 0.9488 ........#.|.x...x..x......o..oo.....
12 0.9904 ...xo..xo.o.....x...#....#...|......
22 0.9716 o........o....x#...x..x.o|..........
15 0.9961 ...|#....x#..x....x.....o#.o..#.o..#
14 0.9906 .........#...o..|x..x.oo#x.......#..
26 0.9372 ..x..o.x#..#....#.....#...xo.|...o..
18 0.9535 #o.......xo.|..#....x......x.....#.o
14 0.9871 o......ox.x...x.....o......|........
25 0.3377 ..#.oo...x.....|...xox...#..#..#....
32 0.3698 #......o##x...#o...xx.##...|.o##.##.
13 0.2597 ox.#..#....#oxo.#.#.x|......#..#....
20 0.4015 oo...#.o.....x..x.x......|......#.#.
12 0.9938 .xo.........x.....oo.x........##..|.
26 0.3242 o.......|...xx..........#..##...#oxo
19 0.9643 .|o.....x.#......x........x..o....o.
16 0.9865 .|..o........x.....x..x...o....o....
13 0.991 .ox.........o..|..x......x...#..o...
20 0.8833 #.....o.o#......x..x.x........o...#|
17 0.987 ....oo...x.......x.......|.ox.......
12 0.9854 .|...........x..xo.....o.o...x......
25 0.3735 .o...o.....x.|...o.......x.x........
16 0.9904 ..xo|....x.#......#.o.x....o........
22 0.3462 ....o......x.x.............|..ox...o
13 0.995 .......|........x..o.....x..o.o..x..
19 0.9692 ##o...##xo...x..|#........x...#..o..
13 0.9843 #.........o#.x..x..o...#....|##.xo..
27 0.9658 ........x...x...x..#........ooo...|.
26 0.3656 ...#......o...|..o.x.#.#..x......xo.
15 0.9973 .####o.x..o..|...x..x#..#.o..#.##...
21 0.9783 ....o..x............x.......o..ox..|
28 0.2975 .#........oo..x.o.|#.#.x..x......##.
28 0.3316 ......|.......x.....x...o..#.xo.#..o
26 0.3438 ......x.x...|....#..x...o..o.o......
26 0.9843 .x..|o.oo..........x...#.x.......#..
15 0.9814 #.xo.....#....#.##..|.o..o.xx....#..
18 0.9908 .#..#..#...|.........o...xx....xoo..
26 0.3548 ..|..#..ox.......oo.....##.xx.#...#.
20 0.3457 ..|#....##........#.x....xo.....ox.o
15 0.9759 .#..###..o..#.ox..#.#......#x#o..x.|
29 0.3462 .##....x...|o...xo#.....##x......o..
15 0.9925 .....oox.o|...x........x............
30 0.2959 ..o...x..x.....|........ox#.#...#..o
26 0.2805 ..##...ooxo.|....#.....#.#xx..#.....
21 0.9731 oo..........x.|x............x..#...o
24 0.9584 .....o...o.....x|o....x..x..........
23 0.3368 ..#.o..........|x....#...xx##...oo##
19 0.8945 ...o.o..x........x.#|.....xo...#....
20 0.9787 ..|...o.x.......x.o......o.x........
17 0.9814 |.o....x.......o#..x.x.o.....#.....#
21 0.9852 ......x..x..o...|..x.......#...o...o
15 0.3307 ...xo.##....#..x...#ox.|##..o##..#.#
29 0.3277 .ox....|.#x..x.......##..#o#....o#..
20 0.2692 ........#...|.....o.#xx#..ox...##o..
19 0.9817 .....o|.#.....x...x.....o.x.#.o.....
13 0.9908 .#............x|.o.o...x.ox...#.....
9 0.9968 ..o.|.#.....#.x....xxo...o.....#....
24 0.4764 ...o...x...o.........o.#.x.x......|.
22 0.9762 ......#..x.xo|......x...o....o......
18 0.99 .xo#.#.......x.....o.x...#...o..#|..
20 0.2976 .#o.x...|.........oxx.o....##..#....
22 0.9947 ........x|x.......o.ox..........o...
32 0.3162 .....o.....o..#xx..#..#....x.o.#.#.|
18 0.9912 ...ox........|..x..o..o.....x.......
20 0.2972 .o.#...x..#....x|.o......x...###.#o.
18 0.9418 ...|...o..x..x.............oxo......
17 0.9852 ...o.o......xx..x.o.|...............
16 0.2751 ......|..........o.....x.......oxox.
23 0.9535 ..........x....x..o...|..x...o....o.
18 0.9824 .....|.x...xo.......o.xo.#..........
25 0.2904 |#.....x.....o..o..x#xo..........#..
18 0.2925 ...............xo..x..o....#...|o.x.
15 0.9897 ......o.xx..#....|..oo....x.........
21 0.9059 .......x.....|.........oo.x...o..x..
15 0.9967 ............o..ox......|.x...#..#.xo
14 0.9858 .o.xo...|....x..............#..xo...
34 0.2515 .#...#o.x#..#.......#x..o.x.o...|...
17 0.9804 ....o.|..x..#.......xx.....o......o.
11 0.9941 .....#....#........x..|...x.x.o.o.o.
16 0.9942 ..........#|....o.o...x.x...x......o
23 0.9739 ..o.x..............|x.....x##.o..o..
13 0.9873 .....|.....#.........o.o.oxx.x#.....
30 0.2035 ....##o.x##..o......#.x.x|.....o...#
18 0.935 #o.....x.x.#..........|..o........xo
18 0.988 ....xo...........|....x..xo......o..
16 0.9959 ..o...#o...#o...x|xx.#......#.......
36 0.2664 ...#.#................x.o.oxx.|o##..
22 0.9903 |.........x....x...o........o.o...x.
11 0.9959 #..#.#.xoo.#.........x.###.|#....xo#
27 0.9716 ...x.o#............x...|...#o..x..o.
21 0.2633 ..##.o.....o..xx...|....x...#.o...#.
16 0.9846 o...o..x..xo.x....................|.
32 0.2231 ..o...#xx.....#.......x........|.oo.
16 0.2628 #......#.#.......|.o.....x.xxo.o#...
19 0.9765 ..oo.....x....|.x..x.......#.....o..
18 0.9866 ........o.x...o....x...|.x...o..#...
19 0.9868 o.x...........x.o.........x......o.|
19 0.9892 ..x|o.....x......o..x.............o.
27 0.2431 ......x..ox..#...#.o..#..x.|..o.##..
20 0.9188 ........o..#.|....x#..x...o.x.o..#.#
18 0.9754 ..oox.....o.....x....|.....x........
19 0.9858 .........x|.o.x.x...o...........o...
18 0.9168 .o.#.......o....xxo........x.......|
20 0.985 .......x.xx...|o..o........o........
17 0.9854 ............x.....o..o...xx|o.......
28 0.2043 .#....##...|..#....x#x.o...oxo.#....
25 0.2612 ........#.#.xx.....x..|....o#.oo....
18 0.9815 .......o.....o..x...o....x.x|.......
10 0.9595 ....#.|.xo...x....#.x....o..o.......
26 0.216 ..o..|.....#.x#x###.o...#.x....o.#..
21 0.1977 ...o.o..x.x....x.#........#o.#|.#...
19 0.9917 ..o.x..#..........o..|...x.x......o.
28 0.2176 .#.......x|.x.##.x.#......o...o....o
16 0.9866 ...o.....x.........x...o.o...x.|#...
21 0.9925 ......x....|...x........oo..x....o..
18 0.1928 #.#..o..x..x.|x......o.#o..#...#.#..
22 0.9936 |..o.o.................x#.xx....o..#
14 0.9817 .#......ox..#o...o..xx.|.........#..
11 0.9924 .#........|.x.....o...x#ox..o.#.....
12 0.988 ...|.....x.o....o.....x...x.....o...
24 0.2135 .o#.|.x..#.#...xo.o.x....##........#
13 0.9856 |.o..........x.x#...x...#oo..#####.#
20 0.9904 ........x...o..o...x........x.o..|..
25 0.2258 ..#...o.x..#.#.....x......x.|.o....o
16 0.9976 .................o..xo...x.x..o....|
16 0.9649 o..x......|..............x.xo.....o.
24 0.2215 .......#..|..x.#...ox.x....#o......o
16 0.2196 ......o.....x.#o|..x...........o.x..
21 0.2199 ..#.#...o.x.......|.x.oo.x..........
18 0.994 ..x.o....x............x.....|o...o..
19 0.9933 ...o.....o....x.x.o...x...........|.
24 0.2135 .......o.o......x...#..|#.x.x...#.o.
15 0.9965 .xo#....#..|x.....o..x...o...#......
14 0.993 .#..xo........o.#..|xx.......o......
21 0.9828 .o..x...x.......#.o...x..|o.........
20 0.9918 ....o..x......xo....x.........|o....
21 0.9867 ..o.x.....x.#.......xo#.|.....#o....
25 0.1674 o.#..#....o.o.x......|x.....x.......
23 0.202 #..###..x...x.##..o..|.o#.x....o..##
21 0.989 ..oox...........x..x...|#..........o
21 0.175 ..#..|..x.x...#.....#.o.ox......o...
17 0.2122 ...#........#...o..xxo.#|......x..o#
26 0.2019 ..|#o...x..x...#.............o...x.o
16 0.9873 .......o.....oxx..|.....o.x.........
13 0.9767 .o....#...#..x.x.....|o..#.xo.......
21 0.1783 ........x...x.o#x.o....|.........#.o
26 0.1663 .....#|..x..o.x...o##..#.#.xo#...#..
15 0.9883 .o......x.o...........x.#|.......ox.
16 0.9752 ....|#........xxox.....o.....o......
19 0.9899 #.....#...x.....x...o......o.|..ox..
23 0.983 .......x...o..........x..|..x.o..o..
22 0.1925 ..|..#..x...#.#x...oo..#..x.....o...
17 0.9875 ....oo...x.......x....x.....|..o....
20 0.9933 .o.....|......xox..........#...x.o..
19 0.9749 ..o.#........x.......o.#..|.x.....xo
23 0.9868 ......#.#.xx.o......x...#......o.|.o
23 0.9941 o.......x.....x.......x........|o..o
11 0.9216 ..##...#......ox....x|..o..x.....o..
19 0.9932 #ox........|..o..#.#x#.o.x.....#....
19 0.1982 ...o##.....#..o....x.#x....|xo#.#...
22 0.9972 ..#......x..o.x...o........x...|.o..
26 0.134 #.....#...o..x..#oox.##.....|x...#..
24 0.9833 o............x.xx.......|....oo.....
16 0.9999 o......#.....#.....x|..o...oxx.#....
15 0.9666 .........o..x..x.....ox.....|.o.....
21 0.9633 .o....o.|....x.....#..xo.x..#.......
23 0.9809 o......|............xx...x.......o.o
26 0.211 #...#.|..x...x.#o................oxo
28 0.1689 o..#.....x...x...#.#.|o#........ox..
18 0.9967 .#......#.....o.xxo...x.....|..#...o
16 0.996 .........o|.x........x..o...x...o...
17 0.9964 ....|...x........ox.x...o........o..
13 0.9948 ..o##...x....|....o.x...x.........o.
16 0.9899 .o.........oo..xx.x.|..............#
18 0.9829 .........x......x..o.o....x.|.....o.
15 0.9902 .....#.....o..x.x.x#....o.o......|..
14 0.9973 o...o.#x.....|...#.#..x....x.....o..
18 0.9853 .#..|...x....x...x..o.....o..o...#..
20 0.9913 o...................x..x..x..o|...o.
18 0.9945 .........o..o...x..x.....|.......ox.
16 0.9952 .ox........o.#..........|.x..x...o..
21 0.9976 .x..o...o.............xx......|....o
14 0.9918 #...#.o#...o.x..x...o|x............#
16 0.9928 o...........o.x........#xx.o......|.
24 0.1481 ##....#...x.o.x.x.|...#o...#.o#....#
19 0.9956 .....o.........x....x.o.......|o.x..
27 0.1235 .#..|.........x#o......o...x.x...#o.
22 0.9934 ...o...x...o.......x........|.ox...#
13 0.9912 .....o|..#..#.x.ox..........x......o
16 0.9969 ......o......x..x.x.o.......|o......
24 0.1412 ........#...o.oxx.......#...x#..|..o
28 0.1386 o.|.........o...#.x.#.x...x.....o#..
17 0.9977 o..x.......#.........x.|..o....ox...
16 0.9932 ..#.#...oox...x...o...x........|..#.
29 0.1397 |o..#...#x.o...........#...x.....ox.
18 0.9795 ..............oxx.....|..o..x....o..
19 0.9813 .....o..|....o.......x.#..x.....xo.#
26 0.1627 #...........o.....#.|.x#oox.x.......
23 0.1373 ...o.|#.xxo...............#xo..#....
17 0.9983 o..x...#.....x...o..o.....x........|
19 0.9944 o..x......|..o...o...x.x............
26 0.1431 ..x..o..#|...o#.....x..o..x#........
20 0.9952 ...#.o....x....x.xo..|..........o...
29 0.1422 .......x..##..xox.......##.o..#..o|.
32 0.1252 ..#.....x.x#...........xo.....o...|o
22 0.1327 ..##.o....#.o..xx.|..o.....x....#.#.
19 0.9926 .......x.........|...ox..x..o.##o...
21 0.9911 .......x........oo.....x..x...o.|..#
16 0.9849 #o....o...#..xx......x....|....#.o#.
14 0.9876 .o..o|.x..x...............x.o......#
33 0.9277 oo............|............xx...o.x.
30 0.12 o..x...##xo.#.#..#....o|#..x........
18 0.9899 .......x|..o.........x....o......ox.
18 0.1046 o..x.##.|..#..x..#x#...#o...o#.#.#.#
27 0.1259 .o..#o...x.o...x..#..#x.#.#......|##
33 0.1056 .....|#.x#o..x.o..#....o...#.x......
20 0.1292 o.#.........xox#o..|......x.....#...
21 0.1187 ..#...o....o.....x....x..|.#.#.x..o#
16 0.9967 ........xx.o...o......ox...........|
21 0.1026 .....#.....o.x.....|.#...x.oxo......
21 0.998 o..x........o.#....|x...x..........o
12 0.9972 ..|..o.x.x.x.o.............o........
11 0.9987 .#|........o..xx...#o..x.........o..
25 0.1119 .##......#...##...o.o|..o.xxx..#....
17 0.9984 ..o.x....x#..........x.o.........o.|
25 0.1125 #.#..........#.#.....|.xo#x.x....o.o
30 0.1135 ..#o.o....o#....x..xx..|............
28 0.1114 .#.o...o...#.....o|x.#.....x.x......
30 0.0886 ...xo...oo.#.##.....x.....x.......|.
16 0.987 #............x..o##.|xoo.....x..#...
22 0.9795 o..........o...x.|.x..x............o
20 0.9902 .#.....o....o.#.o..x..|.xx..........
21 0.1027 ..#........#.#....o.x.x....#..oox|..
17 0.9923 .xo......|.....xx......o.#.......o#.
15 0.9965 ...ox...x.o....x..#........o.|...#..
16 0.9872 .xo..o.o..x....x..|........#.#......
23 0.1028 .xo##..#........x###.o........##.ox|
16 0.9925 o........x........xxo..#..o...|.....
21 0.0875 .#.#..o...##x.....o......x.x...#|o..
18 0.9904 #..o............x.|o.x...ox.........
13 0.9882 ......|........x...x.oo....xo.......
18 0.9944 o.......x.x..o.o...|x...............
20 0.9928 .|....o....x....x....o.o..x.........
18 0.9892 o...xo.x..#...x..............|...o..
32 0.0941 ....#o.x.o.o.#x..|..........x.......
13 0.9485 .......o.......x|o....x..ox.........
13 0.9938 ...o...o..x.....xo...x.|#........#..
25 0.0947 o...#.......#.#|x..xo.x....#...#..o.
14 0.9981 .o............xox.#x............o..|
15 0.998 ...o....|.......xoox..x.............
17 0.9976 ..o..##...o.....x..|x........#.x...o
17 0.9979 .....o............ox.x|..........xo.
23 0.0981 ...............x..o#.x|...x...o.o...
17 0.9897 .o........o........x.x.o..x...|.....
24 0.9975 #.xo#o#..o#.......#|..x.....#x#.....
30 0.073 ....#|...o......oo.x.......xx#.#....
18 0.9919 ......x.|...o.........x..xo....o....
12 0.9952 .....o....x....x.o...|......x.....o.
16 0.9876 .o.x.....x..#..o..o#...|.x..........
15 0.9968 o.#...x.x|.o......#..x.o..........#.
23 0.0854 #.......xx|.....#o.x.oo........#..##
22 0.0771 #.xo..o.#.#....xx......|...o#.......
18 0.978 ..ox..o....o....x...|....x..........
13 0.9875 ......|..#....x...x.o...o..x....o...
14 0.9958 oox.......x.x.o..............|......
28 0.0736 .......#.#....x......oo.|.x.x#..#.o.
16 0.9748 .......o|x.....o....xx.o............
11 0.9962 ....o.#o.|x....x.o.x................
27 0.0707 ..#|#...x..........#.x#x....oo#.o...
12 0.9962 ox.......|....xo...x.......o........
23 0.0711 .....#...#o#o.xxx#.......o###.#.|...
15 0.9992 .xo......o..|.x..........x......o...
28 0.058 ..#.......o...x.#.oxx.o..#.##....|..
28 0.0656 ...o...x#.#..o.xx...#..#...o##.##|#.
35 0.0652 ..#.#....###.x..oo#x...|..ox#.#.....
34 0.0647 .#...#.x..|..##.o...#....xx..#..o.o.
16 0.9977 #.o.x...o.......x..x...o......|.#...
18 0.0638 ##..xo..#..##..o###....|...x....o.x.
25 0.0545 .x..o....x.#.##..o#.|......x.o.#....
12 0.9952 ......|x...o..ox.x.o..........#.....
15 0.9909 ........o.......x|o.....x.x.......o.
21 0.9537 ........|x.........x..x....o.o....o.
26 0.0568 #o..x.....#..#x..o...x###.#o....#|#.
13 0.0599 #......ox...#x......ox|..#o..#...#..
15 0.9943 ...xo.......|..x.#.....o....x.#.o...
14 0.9802 .......xo.o.....x.....x..o.......#.|
30 0.0462 ......#.#x...x....#.o.o.|.x.o.......
19 0.0463 ##..o###.xo.##.x|#.#.#..#o.x.#......
28 0.056 #........#...o..##...xx|.x...o....o.
15 0.9954 #..x|o...x...x.....o.............o..
17 0.9978 ...x.o.......|.....o.x..#.......o.x.
19 0.9988 o.x.........|.x.....o....x.........o
15 0.9959 ...o..o..x....x.......x....o....|...
25 0.0415 ##......#.o........x.o.##.xx|.o...##
25 0.0547 ..o.....x#xo..x....o....#.|..#.....#
28 0.0399 .#.o...xx...........|o........o...x.
26 0.0464 #o.#...x.x....x....o..#...|...#.o...
15 0.9919 .ox.......|...x.oo..........x.......
23 0.0507 o.x.o.....##...x#..#.|..#..x...o....
14 0.992 .........ooo....x...x..x.|..........
21 0.9979 o.x........|...xx.......o........o..
27 0.0503 #.......#.......o..xox.|.x#.o......#
32 0.036 ..#..ox.##x..x....o....|......o.###.
18 0.9984 ...o|...........x.....x.....o.o...x.
28 0.0387 |...#....x..oo....x......ox#........
10 0.9925 .ox..|....x.o.x.o...................
35 0.0444 .#.....x.#|o.....o.#...x.x....o...#.
27 0.0401 ..#.....x.##....o.ox..#...#.x.o.|...
16 0.9994 o.x..##ox....#....|x...#.....#....o.
14 0.9949 ...........o.x.........x.o..x.....o|
17 0.9936 #...#...x..#.....oo..x.x....#|o.....
17 0.9977 ....#....#.....x..x.|....x...ooo....
12 0.9983 ............o..x|........x.o....x.o.
17 0.9983 .........|x...............xo.o..x..o
31 0.0326 .o##.......o.x.x.#.#..x####.....|o..
19 0.9952 o.......|..x..x.....x..o...o........
14 0.0354 ....##ox|....x#x..oo...##....#....##
11 0.9958 ....|...xox#....o.....xo............
20 0.0411 .#....o..|x.x#......#.x.o...o.#....#
22 0.0367 ox.....x..o..x##|.............#.o...
21 0.9894 ....o|......ox.x..o......x..#.......
24 0.0357 o.......x...#x.##..o.x..#........|o.
30 0.0317 .#o...o#....o#...|x..x......x...#...
14 0.9867 .|.x.o..x................o........xo
18 0.0334 o|x.#.#....#...#...ox....##.#..x..o.
18 0.9894 ....#...|..o...x...xo..........x.o..
19 0.9972 .....o....o.....x.........x..|ox....
13 0.9921 #.....o.....x..x.o.x|.#....o........
30 0.0268 .#......x....#ox....x...o..#.|.o....
17 0.9958 ...o...x...#..|....x.....o.....x...o
10 0.996 .......x.....o.o.....x..|.x.o.......
30 0.0271 ..o#.....#..x#o...o.x.#.#|.x#...#...
24 0.0247 ............x.x#...|....o..x.o...#.o
15 0.9956 #......x......oo.|..x........x.....o
32 0.0243 ..#..#.....o#####..o.....|x#x.o...x.
24 0.0243 o...o...x.x.........##..#|x...#o.#.#
33 0.0222 #....#......ox.ox.#x#..|..#o#.......
28 0.0206 .o......x.......#...xx|...#.#..o..o#
9 0.9982 #..|xo....x..o...x...........o#.....
19 0.9976 ..o...........x..x..x........oo...|.
10 0.999 .#.......o.....x.....oxx.|........#o
23 0.019 ##.....o#.x.#.#..o..xox..|..#.#.#.##
30 0.018 .x..o...o.##...xx..........#.o...|..
34 0.0172 #...##.x...|.x....o.x....#.#.#o..o.#
15 0.9986 ...o.................x...|x..o..x..o
26 0.0166 .o........#...#.....o#x..xo.x.|.....
31 0.0124 .......x...x......o#x#.o#..o|..#..#.
32 0.0151 o...#....x.#.x.#...o..|#x.#.o#..#...
26 0.014 ....#...#..#...x#..x|o...x.o#.#....o
17 0.9999 ..o|.....#..x....#o...xo#.x.#.....#.
24 0.0138 ..#....xxo....o.#...x.....###..o..|#
28 0.0108 .#...o###.x..o.....##..|..xxo..#....
27 0.0122 #..o.|...o...x......#.x#.o.x..#.....
17 0.9916 .......o...x...x.......o..|...ox...#
23 0.0116 ...o.##.x.#.#o.o..###x#..#..x|......
15 0.9978 ..#|.......o.o..xxo.....x...........
19 0.0114 ...o.#...o..#x#.x.#..x.....|..#..o.#
19 0.01 .......o.x....#.....xox|..#......o..
15 0.9984 ...............o...x..|...xox.o.....
33 0.0108 ##...|.#.....x.#.o.x..o....ox..#....
15 0.9995 ....o..x..........o..x......xo.|..#.
11 0.9998 ...............o.o..|x..ox..x.......
14 0.994 ..x.o..|.....x..o...........xo......
17 0.9968 ..ox..o..........|..x...........ox..
33 0.0078 #|##....x..o.#.#o..#.....x...x....o.
9 0.9984 ........|.....x.......x....xoo..o...
30 0.0083 ..#...#...o...#...oxx.#.....|...o.x.
36 0.0078 ..#.....x.x..o.#..#...x.|.....#..oo.
21 0.0082 .......xx#..#..x|.o.o..o..#...#.#...
33 0.0077 .##o..##|.....x.x....#x.#o.o........
9 0.9985 .ox......|......o....x.....x.....o..
31 0.0066 |oox.##.x...#.............x.#...#..o
29 0.0065 ..o..##x..o.|.....#..x.....#x...o...
28 0.0053 o....#x.....o#x..#..o#..|...x.##..#.
24 0.0055 ....#.#.ox...#...#.#.oxo..x.#..#|...
17 0.9984 ..x..o.....o.|..x...............o.x.
22 0.0059 .#.###.|.....x..x.o.#.o.o..x.#....#.
23 0.0051 ..o.xo..xx..o.#.....#|#.#...##.##...
13 0.9989 .........xo.......ox|.........o..x..
24 0.0049 |................o..oxx.....#..x...o
21 0.004 ........|..##.....o..x.o...xx....o#.
35 0.0033 #.#.....xx...|x....#...#.o....o...o.
7 0.9998 .#......#....|.x.o.xxo........#o....
13 0.9976 ..o................|..x.....xo...xo.
20 0.0027 ...xo...o.|....#...oxx..#..#....##.#
34 0.0028 ####..#..#..#.x.x....#..##..x.|..ooo
24 0.0025 ..#....#.....x.....xo|...o..x..o#...
22 0.0017 |.....##.ox.#.##......xo..#..x##..o.
16 0.9996 .......x..#.x...|.oo.........x.....o
23 0.0016 o|x...x.....o.#x......#.....#...o#..
21 0.0022 .....o...................|ox.x..x.o.
27 0.002 o..#.#ox..x|#.x.......#..#...#...o..
31 0.0017 .....#.#o..o...x.####.#..#.x.|o...x.
38 0.0014 .......x...#..##x..#...|...x....ooo.
20 0.0013 .#o.#...o.x|.#xx#.....o.........#.#.
33 0.0014 ........#o..#x.x#..x..#..o...|o..##.
33 0.0014 .#.xo......##o..x.o..##..#..x...|...
29 0.0013 #..#o|##...#.xx...o..ox....#..#####.
30 0.0011 .###.......#.#ox#o..x..o....x|..#..#
30 0.0009 .|o.....#o......#...x..#.xx#....o...
27 0.001 .......|#..oo.......#..xx#.....o.x..
27 0.0009 .#......x.#.oo...#......x|x#...o.#.#
22 0.0009 .##..oo|x.x..#...x....#..#.o........
35 0.0007 ......o#x#.....#..|.x.o.#o.x...#..#.
27 0.0007 ..xo..#..o#.#.x....|..x##......o..#.
25 0.0006 ..#.o#.#..|......#....x.#..xx...oo..
23 0.0005 ....o...|.....#...ox.#x#..x...#.o...
30 0.0005 ....o.##.x.|.........x#x.#...oo..#..
20 0.0004 oxo.x....................x.#.|.o....
28 0.0003 ......o.###..o..##..x...|xx..##....o
37 0.0002 oo..|....#x.##..o.#...x#..x......#.#
21 0.0001 .o.x..o.....x.....o....#x....#..|.#.
22 0.0001 ##....oox..#..xx#.....o.##.|.#.#...#
42 0.0001 ....#.#ox....o#|.#..ox...##.x.....#.
24 0.0001 ..#..oo.x...#...#....x#...|......xo.
40 0.0001 ..#...#.....o..#.o..x#x.x..#|o...#..
25 0.0001 ...|...xo##.x.#..#ox#...o.......#...
30 0.0001 #.#.....##.....o....x|.x.#.#.o.##ox.
27 0.0001 .#..o#.#x.x....o.##.#....|xo#.##....
39 0.0 .xo....#.....ox....o#.x.|.......#...
25 0.0 o##.#.x.#o.|..xx#.....#..#o#........
34 0.0 ..............#xoo..|xx...#.......#o
33 0.0 o....#......x#.......ox|#x#.o#.....#
28 0.0 .o....o.x.#...#xxo.|..#......#......
48 0.0 o.xo..#.#.#.....#.#|#..x#x..#o......
39 0.0 o..x.###.#..#.x..#.|#....xo.o#..#...
32 0.0 .o.ox........o..x#......|#.x....#...
47 0.0 ..|...xo.....x###..x..##o.#......o..
34 0.0 #.|.###..x....##.o...#x.#o......o.x.
36 0.0 .|..#.#x.......o...x..#o#..##.#...xo
28 0.0 ..#......#.#o.....|x#.xo#...x....#.o
30 0.0 .|x.o..x#.....x....#...#.#.#..o..o..
27 0.0 .#.....xo#..o.x#....o.#..x.......|##
42 0.0 .o.....##.#.x....o.....|o...xx..#...
42 0.0 o......#..x.x..#x#....|..oo.##......
31 0.0 ##.....##ox..#.x...x.o#.o.|......#.#
46 0.0 o..#.....xo..##..|.x.ox##.#...##.#..
51 0.0 o..o...x..#..x##..#...x........o..|.
43 0.0 ...#...###..o#.|xxx.........#oo##.#.
76 0.0 #...o..#x.#...xx#..#......#..o|.o...
